tileswide 25
tileshigh 20
tilewidth 32
tileheight 32

layer 0
14,15,9,9,9,9,0,0,9,9,9,9,9,9,20,20,9,9,9,9,19,19,19,3,3,
14,15,9,9,1,6,0,9,9,8,8,8,9,20,20,20,9,9,9,9,19,20,19,3,19,
14,15,9,1,0,0,0,9,9,8,9,8,9,9,20,20,9,9,10,12,19,19,3,3,19,
14,15,1,0,0,0,9,19,9,0,6,9,9,9,9,19,19,19,16,18,19,19,19,3,19,
14,15,1,0,9,9,19,19,9,0,0,0,9,9,9,19,19,19,19,19,19,19,9,3,19,
17,18,1,0,9,10,11,11,12,9,0,6,9,9,19,19,20,19,19,19,19,19,19,3,3,
9,1,0,0,9,13,14,14,15,9,0,0,6,9,9,19,19,9,19,19,19,19,9,9,3,
1,0,0,4,9,13,14,14,15,9,9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,
1,0,0,4,9,16,17,17,18,9,9,9,0,9,9,9,9,9,9,9,9,19,19,19,8,
1,0,0,4,9,9,9,9,9,19,9,9,0,9,9,9,9,9,9,9,9,19,8,0,0,
1,0,0,4,9,9,9,19,19,19,19,19,9,9,10,11,12,9,9,9,19,19,0,0,4,
1,0,0,4,9,9,19,19,19,19,19,9,9,9,16,17,18,9,9,19,19,0,0,4,9,
3,2,2,5,9,9,19,19,19,19,19,9,9,9,9,9,9,9,9,19,0,0,0,0,9,
9,9,9,9,9,9,20,20,20,20,20,20,9,9,9,9,9,9,9,1,0,0,0,4,9,
9,9,9,9,20,20,20,20,20,20,20,9,9,9,0,0,0,1,0,0,0,9,4,9,9,
9,9,20,20,20,20,20,20,20,20,20,9,9,0,0,0,0,1,0,9,9,9,4,9,9,
9,20,20,20,20,20,20,20,20,9,9,9,9,9,9,1,0,0,0,9,9,9,9,9,9,
9,20,20,20,20,20,20,20,20,20,9,20,20,9,9,3,1,0,9,9,9,9,9,9,9,
9,9,19,19,19,20,20,20,20,20,20,20,19,19,20,20,1,0,9,10,12,9,9,9,9,
9,20,20,20,20,20,20,20,20,20,20,19,19,20,20,9,3,0,9,16,18,9,9,9,9,

layer 1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

